name,height,weight
Arsalan Kazemi,6.7,226lb
Cady Lalanne,6.1,253lb
Lawrence Roberts III,6.9,240lb
Mark Blount,7,230lb
Herbert Hill,6.1,240lb
Semaj Christon,6.3,190lb
Jeremy Evans,6.9,196lb
Roy Devyn Marble,6.6,200lb
Ahmad Nivins,6.9,242lb
Brandon Hunter,6.7,260lb
Ramon Sessions,6.3,190lb
Hamady N'Diaye,7,235lb
J.R. Henderson Jr,6.8,226lb
Randy Holcomb,6.9,225lb
Ryan Reid,6.8,235lb
Marcus Douthit,6.1,235lb
James Gist,6.9,235lb
Torraye Braggs,6.8,245lb
Ater Majok,6.1,233lb
Corsley Edwards,6.9,275lb
Bryan Bracey,6.7,210lb
J.R. Pinnock,6.5,207lb
D.J. Strawberry Jr,6.5,201lb
Isaiah Cousins,6.4,187lb
Chinemelu Elonu,6.1,235lb
Deron Washington,6.7,202lb
Will Blalock,6,205lb
Dwayne Collins,6.8,241lb
Alex Acker,6.5,185lb
Sherron Mills,6.8,220lb
Mark Sanford,6.1,230lb
Rico Hill,6.5,249lb
Rodney Dent,6.11,245lb
Joseph Blair,6.11,265lb
John Best,6.8,216lb
Russ Millard,6.8,240lb
Erik Meek,6.11,245lb
Michael Cutright,6.4,220lb
Steve Hood,6.7,185lb
Alvaro Teheran,7.1,235lb
Anthony Pelle,7,260lb
Reggie Cross,6.8,245lb
