name,season,school,conf,class,G,GS,MP_per,FG_per,FGA_per,FG%_per,2P_per,2PA_per,2P%_per,3P_per,3PA_per,3P%_per,FT_per,FTA_per,FT%_per,ORB_per,DRB_per,TRB_per,AST_per,STL_per,BLK_per,TOV_per,PF_per,PTS_per,SOS
Jeffery Taylor,Career,Vanderbilt,,,134,133,29.3,5,10.3,0.483,4.1,7.9,0.52,0.9,2.4,0.358,3.4,4.9,0.693,2.1,3.5,5.6,1.9,1.1,0.4,2.3,2.3,14.2,6.64
Salim Stoudamire,2001-02,Arizona,Pac-10,FR,34,28,30,3.8,8.6,0.443,1.6,3.8,0.431,2.1,4.7,0.453,3,3.4,0.904,0.4,1.7,2.1,1.1,0.8,0,1.6,2.4,12.8,12.47
Salim Stoudamire,2002-03,Arizona,Pac-10,SO,30,27,25.8,4.2,8.8,0.473,1.8,3.5,0.519,2.4,5.3,0.444,2.3,2.7,0.864,0.3,1.4,1.6,1.8,0.6,0.1,2.1,2.2,13,8.95
Salim Stoudamire,2003-04,Arizona,Pac-10,JR,29,29,32,5.2,11.5,0.452,2.5,5,0.5,2.7,6.5,0.415,3.2,4,0.795,0.6,2.2,2.7,3,0.8,0.1,2.1,2.4,16.3,6.63
Salim Stoudamire,2004-05,Arizona,Pac-10,SR,36,33,31.3,5.8,11.6,0.504,2.5,5,0.503,3.3,6.6,0.504,3.4,3.7,0.91,0.3,2.1,2.3,2.2,0.8,0.1,2.4,1.8,18.4,8.02
Salim Stoudamire,Career,Arizona,,,129,117,29.8,4.8,10.1,0.471,2.1,4.3,0.488,2.7,5.8,0.458,3,3.5,0.87,0.4,1.8,2.2,2,0.8,0.1,2,2.2,15.2,9.02
Jeff Ayres,2005-06,Arizona State,Pac-10,FR,27,22,25.5,4.3,8.6,0.494,4.3,8.6,0.498,0,0.1,0,2.4,3.3,0.73,2.1,4,6.1,0.6,0.4,0.9,1.9,3.4,10.9,7.18
Jeff Ayres,2006-07,Arizona State,Pac-10,SO,30,29,33.6,4.8,8.8,0.551,4.8,8.6,0.562,0,0.2,0,2.4,3.3,0.73,3.9,5.1,9.1,0.9,0.6,0.7,2.3,3.5,12.1,7.95
Jeff Ayres,2007-08,Arizona State,Pac-10,JR,34,34,28.4,4.5,7.6,0.593,4.5,7.6,0.595,0,0,0,3.4,4.3,0.793,2.2,4.2,6.4,0.9,0.4,1.6,2,3.1,12.4,6.28
Jeff Ayres,2008-09,Arizona State,Pac-10,SR,35,35,32.5,5.7,8.6,0.66,5.7,8.5,0.662,0,0,0,3.2,4.1,0.779,2.5,5.7,8.2,0.9,0.5,0.9,1.2,2.7,14.5,7.82
Jeff Ayres,Career,Arizona State,,,126,120,30.2,4.8,8.4,0.58,4.8,8.3,0.585,0,0.1,0,2.9,3.8,0.764,2.7,4.8,7.5,0.8,0.5,1,1.8,3.1,12.6,7.31
Gilbert Arenas,1999-00,Arizona,Pac-10,FR,34,31,32.1,5.5,12.1,0.453,4.4,8.3,0.527,1.1,3.8,0.292,3.3,4.4,0.75,,,4.1,2.1,2.1,0.3,2.6,2.4,15.4,9.7
Gilbert Arenas,2000-01,Arizona,Pac-10,SO,36,33,29,5.8,12.1,0.479,3.9,7.4,0.519,1.9,4.6,0.416,2.7,3.7,0.724,0.8,2.8,3.6,2.3,1.8,0.2,2.8,2.3,16.2,12.56
Gilbert Arenas,Career,Arizona,,,70,64,30.5,5.6,12.1,0.466,4.1,7.9,0.523,1.5,4.2,0.361,3,4,0.738,,,3.8,2.2,1.9,0.2,2.7,2.4,15.8,11.13
Jason Kapono,1999-00,UCLA,Pac-10,FR,33,33,32.7,5.8,11.2,0.519,3.3,5.9,0.559,2.5,5.2,0.474,2,2.9,0.684,,,4.4,1.9,1,0.1,2.5,2.5,16,10.11
Jason Kapono,2000-01,UCLA,Pac-10,SO,32,31,35.1,5.2,11.8,0.441,2.6,6.1,0.426,2.6,5.8,0.457,4.2,4.8,0.869,1.7,4,5.7,2.3,1.2,0.1,2.5,2.6,17.2,12.07
Jason Kapono,2001-02,UCLA,Pac-10,JR,33,33,34.6,5.2,11.2,0.459,2.5,5.4,0.466,2.6,5.8,0.453,3.1,3.6,0.856,1.4,3.7,5.1,2.1,0.6,0.1,1.9,2,16,10.78
Jason Kapono,2002-03,UCLA,Pac-10,SR,29,29,33.4,5.9,12.9,0.457,3.7,7.3,0.502,2.2,5.6,0.398,2.8,3.2,0.88,1.8,3.4,5.2,2,0.6,0,2.1,2.2,16.8,9.75
Jason Kapono,Career,UCLA,,,127,126,34,5.5,11.7,0.469,3,6.1,0.489,2.5,5.6,0.446,3,3.6,0.83,,,5.1,2.1,0.9,0.1,2.3,2.3,16.5,10.68
Allen Crabbe,2010-11,California,Pac-10,FR,31,31,33.8,4.5,10.1,0.446,2.5,5.1,0.49,2,5,0.4,2.4,3,0.804,0.6,4.7,5.3,2,0.9,0.5,1.5,1.5,13.4,9.17
